"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Nov., 2020"	"2020/11"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Dec., 2020"	"2020/12"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Jan., 2021"	"2021/01"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Feb., 2021"	"2021/02"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Mar., 2021"	"2021/03"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Apr., 2021"	"2021/04"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"May, 2021"	"2021/05"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Jun., 2021"	"2021/06"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Jul., 2021"	"2021/07"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Aug., 2021"	"2021/08"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Sep., 2021"	"2021/09"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Oct., 2021"	"2021/10"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Nov., 2021"	"2021/11"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Dec., 2021"	"2021/12"	57	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Jan., 2020"	"2020/01"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Feb., 2020"	"2020/02"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Mar., 2020"	"2020/03"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Apr., 2020"	"2020/04"	48	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"May, 2020"	"2020/05"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Jun., 2020"	"2020/06"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Jul., 2020"	"2020/07"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Aug., 2020"	"2020/08"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Sep., 2020"	"2020/09"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Oct., 2020"	"2020/10"	48	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Nov., 2020"	"2020/11"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Dec., 2020"	"2020/12"	60	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Jan., 2021"	"2021/01"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Feb., 2021"	"2021/02"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Mar., 2021"	"2021/03"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Apr., 2021"	"2021/04"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"May, 2021"	"2021/05"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Jun., 2021"	"2021/06"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Jul., 2021"	"2021/07"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Aug., 2021"	"2021/08"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Sep., 2021"	"2021/09"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Oct., 2021"	"2021/10"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Nov., 2021"	"2021/11"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Dec., 2021"	"2021/12"	61	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"Jan., 2020"	"2020/01"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"Feb., 2020"	"2020/02"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"Mar., 2020"	"2020/03"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"Apr., 2020"	"2020/04"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"May, 2020"	"2020/05"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"Jun., 2020"	"2020/06"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"Jul., 2020"	"2020/07"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"Aug., 2020"	"2020/08"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"Sep., 2020"	"2020/09"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"Oct., 2020"	"2020/10"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"Nov., 2020"	"2020/11"	78	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	"Dec., 2020"	"2020/12"	59	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"Jan., 2021"	"2021/01"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"Feb., 2021"	"2021/02"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"Mar., 2021"	"2021/03"	70	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"Apr., 2021"	"2021/04"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"May, 2021"	"2021/05"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"Jun., 2021"	"2021/06"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"Jul., 2021"	"2021/07"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"Aug., 2021"	"2021/08"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"Sep., 2021"	"2021/09"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"Oct., 2021"	"2021/10"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"Nov., 2021"	"2021/11"	78	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	"Dec., 2021"	"2021/12"	76	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"Jan., 2020"	"2020/01"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"Feb., 2020"	"2020/02"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"Mar., 2020"	"2020/03"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"Apr., 2020"	"2020/04"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"May, 2020"	"2020/05"	95	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"Jun., 2020"	"2020/06"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"Jul., 2020"	"2020/07"	95	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"Aug., 2020"	"2020/08"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"Sep., 2020"	"2020/09"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"Oct., 2020"	"2020/10"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"Nov., 2020"	"2020/11"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	"Dec., 2020"	"2020/12"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"Jan., 2021"	"2021/01"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"Feb., 2021"	"2021/02"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"Mar., 2021"	"2021/03"	79	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"Apr., 2021"	"2021/04"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"May, 2021"	"2021/05"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"Jun., 2021"	"2021/06"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"Jul., 2021"	"2021/07"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"Aug., 2021"	"2021/08"	150	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"Sep., 2021"	"2021/09"	141	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"Oct., 2021"	"2021/10"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"Nov., 2021"	"2021/11"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	"Dec., 2021"	"2021/12"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"Jan., 2020"	"2020/01"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"Feb., 2020"	"2020/02"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"Mar., 2020"	"2020/03"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"Apr., 2020"	"2020/04"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"May, 2020"	"2020/05"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"Jun., 2020"	"2020/06"	119	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"Jul., 2020"	"2020/07"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"Aug., 2020"	"2020/08"	120	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"Sep., 2020"	"2020/09"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"Oct., 2020"	"2020/10"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"Nov., 2020"	"2020/11"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	"Dec., 2020"	"2020/12"	148	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"Jan., 2021"	"2021/01"	143	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"Feb., 2021"	"2021/02"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"Mar., 2021"	"2021/03"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"Apr., 2021"	"2021/04"	119	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"May, 2021"	"2021/05"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"Jun., 2021"	"2021/06"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"Jul., 2021"	"2021/07"	129	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"Aug., 2021"	"2021/08"	201	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"Sep., 2021"	"2021/09"	189	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"Oct., 2021"	"2021/10"	150	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"Nov., 2021"	"2021/11"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	"Dec., 2021"	"2021/12"	126	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"Jan., 2020"	"2020/01"	125	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"Feb., 2020"	"2020/02"	119	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"Mar., 2020"	"2020/03"	140	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"Apr., 2020"	"2020/04"	134	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"May, 2020"	"2020/05"	139	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"Jun., 2020"	"2020/06"	130	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"Jul., 2020"	"2020/07"	150	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"Aug., 2020"	"2020/08"	158	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"Sep., 2020"	"2020/09"	138	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"Oct., 2020"	"2020/10"	139	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"Nov., 2020"	"2020/11"	131	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	"Dec., 2020"	"2020/12"	185	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2021"	"2021"	"Jan., 2021"	"2021/01"	179	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2021"	"2021"	"Feb., 2021"	"2021/02"	129	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2021"	"2021"	"Mar., 2021"	"2021/03"	142	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2021"	"2021"	"Apr., 2021"	"2021/04"	169	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2021"	"2021"	"May, 2021"	"2021/05"	138	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2021"	"2021"	"Jun., 2021"	"2021/06"	160	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2021"	"2021"	"Jul., 2021"	"2021/07"	165	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2021"	"2021"	"Aug., 2021"	"2021/08"	241	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2021"	"2021"	"Sep., 2021"	"2021/09"	257	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	"2021"	"2021"	"Oct., 2021"	"2021/10"	172	Not Applicable	Not Applicable
