"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Age Group"	"Age Group Code"	Population
	"California"	"06"	"2020"	"2020"	"35-39 years"	"35-39"	2809163
	"California"	"06"	"2020"	"2020"	"40-44 years"	"40-44"	2554537
	"California"	"06"	"2020"	"2020"	"45-49 years"	"45-49"	2487139
	"California"	"06"	"2020"	"2020"	"50-54 years"	"50-54"	2488389
	"California"	"06"	"2020"	"2020"	"55-59 years"	"55-59"	2494710
	"California"	"06"	"2020"	"2020"	"60-64 years "	"60-64"	2298280
	"California"	"06"	"2020"	"2020"	"65-69 years"	"65-69"	1911519
	"California"	"06"	"2020"	"2020"	"70-74 years"	"70-74"	1528831
	"California"	"06"	"2020"	"2020"	"75-79 years"	"75-79"	1018362
	"California"	"06"	"2020"	"2020"	"80-84 years"	"80-84"	678034
	"California"	"06"	"2020"	"2020"	"85+ years"	"85+"	734888
"Total"	"California"	"06"	"2020"	"2020"			39501653
	"California"	"06"	"2021"	"2021"	"0-4 years"	"0-4"	2182314
	"California"	"06"	"2021"	"2021"	"5-9 years"	"5-9"	2399078
	"California"	"06"	"2021"	"2021"	"10-14 years"	"10-14"	2535851
	"California"	"06"	"2021"	"2021"	"15-19 years"	"15-19"	2516922
	"California"	"06"	"2021"	"2021"	"20-24 years"	"20-24"	2632403
	"California"	"06"	"2021"	"2021"	"25-29 years"	"25-29"	2829116
	"California"	"06"	"2021"	"2021"	"30-34 years"	"30-34"	2990687
	"California"	"06"	"2021"	"2021"	"35-39 years"	"35-39"	2800461
	"California"	"06"	"2021"	"2021"	"40-44 years"	"40-44"	2580907
	"California"	"06"	"2021"	"2021"	"45-49 years"	"45-49"	2426526
	"California"	"06"	"2021"	"2021"	"50-54 years"	"50-54"	2492115
	"California"	"06"	"2021"	"2021"	"55-59 years"	"55-59"	2444354
	"California"	"06"	"2021"	"2021"	"60-64 years "	"60-64"	2307189
	"California"	"06"	"2021"	"2021"	"65-69 years"	"65-69"	1944694
	"California"	"06"	"2021"	"2021"	"70-74 years"	"70-74"	1589015
	"California"	"06"	"2021"	"2021"	"75-79 years"	"75-79"	1048993
	"California"	"06"	"2021"	"2021"	"80-84 years"	"80-84"	690670
	"California"	"06"	"2021"	"2021"	"85+ years"	"85+"	731696
"Total"	"California"	"06"	"2021"	"2021"			39142991
"Total"	"California"	"06"					78644644
	"Colorado"	"08"	"2020"	"2020"	"0-4 years"	"0-4"	317683
	"Colorado"	"08"	"2020"	"2020"	"5-9 years"	"5-9"	338745
	"Colorado"	"08"	"2020"	"2020"	"10-14 years"	"10-14"	368900
	"Colorado"	"08"	"2020"	"2020"	"15-19 years"	"15-19"	382586
	"Colorado"	"08"	"2020"	"2020"	"20-24 years"	"20-24"	387755
	"Colorado"	"08"	"2020"	"2020"	"25-29 years"	"25-29"	446295
	"Colorado"	"08"	"2020"	"2020"	"30-34 years"	"30-34"	455091
	"Colorado"	"08"	"2020"	"2020"	"35-39 years"	"35-39"	433675
	"Colorado"	"08"	"2020"	"2020"	"40-44 years"	"40-44"	384166
	"Colorado"	"08"	"2020"	"2020"	"45-49 years"	"45-49"	361733
	"Colorado"	"08"	"2020"	"2020"	"50-54 years"	"50-54"	346125
	"Colorado"	"08"	"2020"	"2020"	"55-59 years"	"55-59"	357851
	"Colorado"	"08"	"2020"	"2020"	"60-64 years "	"60-64"	348645
	"Colorado"	"08"	"2020"	"2020"	"65-69 years"	"65-69"	300052
	"Colorado"	"08"	"2020"	"2020"	"70-74 years"	"70-74"	234290
	"Colorado"	"08"	"2020"	"2020"	"75-79 years"	"75-79"	143831
	"Colorado"	"08"	"2020"	"2020"	"80-84 years"	"80-84"	88688
	"Colorado"	"08"	"2020"	"2020"	"85+ years"	"85+"	88754
"Total"	"Colorado"	"08"	"2020"	"2020"			5784865
	"Colorado"	"08"	"2021"	"2021"	"0-4 years"	"0-4"	312128
	"Colorado"	"08"	"2021"	"2021"	"5-9 years"	"5-9"	335910
	"Colorado"	"08"	"2021"	"2021"	"10-14 years"	"10-14"	362318
	"Colorado"	"08"	"2021"	"2021"	"15-19 years"	"15-19"	372795
	"Colorado"	"08"	"2021"	"2021"	"20-24 years"	"20-24"	395835
	"Colorado"	"08"	"2021"	"2021"	"25-29 years"	"25-29"	443443
	"Colorado"	"08"	"2021"	"2021"	"30-34 years"	"30-34"	462105
	"Colorado"	"08"	"2021"	"2021"	"35-39 years"	"35-39"	439830
	"Colorado"	"08"	"2021"	"2021"	"40-44 years"	"40-44"	395441
	"Colorado"	"08"	"2021"	"2021"	"45-49 years"	"45-49"	354518
	"Colorado"	"08"	"2021"	"2021"	"50-54 years"	"50-54"	353531
	"Colorado"	"08"	"2021"	"2021"	"55-59 years"	"55-59"	346952
	"Colorado"	"08"	"2021"	"2021"	"60-64 years "	"60-64"	350726
	"Colorado"	"08"	"2021"	"2021"	"65-69 years"	"65-69"	306169
	"Colorado"	"08"	"2021"	"2021"	"70-74 years"	"70-74"	248517
	"Colorado"	"08"	"2021"	"2021"	"75-79 years"	"75-79"	150275
	"Colorado"	"08"	"2021"	"2021"	"80-84 years"	"80-84"	91868
	"Colorado"	"08"	"2021"	"2021"	"85+ years"	"85+"	88936
"Total"	"Colorado"	"08"	"2021"	"2021"			5811297
"Total"	"Colorado"	"08"					11596162
	"Connecticut"	"09"	"2020"	"2020"	"0-4 years"	"0-4"	182163
	"Connecticut"	"09"	"2020"	"2020"	"5-9 years"	"5-9"	197089
	"Connecticut"	"09"	"2020"	"2020"	"10-14 years"	"10-14"	222759
	"Connecticut"	"09"	"2020"	"2020"	"15-19 years"	"15-19"	244355
	"Connecticut"	"09"	"2020"	"2020"	"20-24 years"	"20-24"	237251
	"Connecticut"	"09"	"2020"	"2020"	"25-29 years"	"25-29"	222862
	"Connecticut"	"09"	"2020"	"2020"	"30-34 years"	"30-34"	224430
	"Connecticut"	"09"	"2020"	"2020"	"35-39 years"	"35-39"	227145
	"Connecticut"	"09"	"2020"	"2020"	"40-44 years"	"40-44"	215472
	"Connecticut"	"09"	"2020"	"2020"	"45-49 years"	"45-49"	221146
	"Connecticut"	"09"	"2020"	"2020"	"50-54 years"	"50-54"	251431
	"Connecticut"	"09"	"2020"	"2020"	"55-59 years"	"55-59"	271818
	"Connecticut"	"09"	"2020"	"2020"	"60-64 years "	"60-64"	252759
	"Connecticut"	"09"	"2020"	"2020"	"65-69 years"	"65-69"	201515
	"Connecticut"	"09"	"2020"	"2020"	"70-74 years"	"70-74"	160946
	"Connecticut"	"09"	"2020"	"2020"	"75-79 years"	"75-79"	111877
	"Connecticut"	"09"	"2020"	"2020"	"80-84 years"	"80-84"	70999
	"Connecticut"	"09"	"2020"	"2020"	"85+ years"	"85+"	81345
"Total"	"Connecticut"	"09"	"2020"	"2020"			3597362
	"Connecticut"	"09"	"2021"	"2021"	"0-4 years"	"0-4"	180698
	"Connecticut"	"09"	"2021"	"2021"	"5-9 years"	"5-9"	196331
	"Connecticut"	"09"	"2021"	"2021"	"10-14 years"	"10-14"	218383
	"Connecticut"	"09"	"2021"	"2021"	"15-19 years"	"15-19"	249254
	"Connecticut"	"09"	"2021"	"2021"	"20-24 years"	"20-24"	245583
	"Connecticut"	"09"	"2021"	"2021"	"25-29 years"	"25-29"	225985
	"Connecticut"	"09"	"2021"	"2021"	"30-34 years"	"30-34"	227500
	"Connecticut"	"09"	"2021"	"2021"	"35-39 years"	"35-39"	231752
	"Connecticut"	"09"	"2021"	"2021"	"40-44 years"	"40-44"	220639
	"Connecticut"	"09"	"2021"	"2021"	"45-49 years"	"45-49"	212742
	"Connecticut"	"09"	"2021"	"2021"	"50-54 years"	"50-54"	248024
	"Connecticut"	"09"	"2021"	"2021"	"55-59 years"	"55-59"	266730
	"Connecticut"	"09"	"2021"	"2021"	"60-64 years "	"60-64"	255538
	"Connecticut"	"09"	"2021"	"2021"	"65-69 years"	"65-69"	207777
	"Connecticut"	"09"	"2021"	"2021"	"70-74 years"	"70-74"	167350
	"Connecticut"	"09"	"2021"	"2021"	"75-79 years"	"75-79"	115236
	"Connecticut"	"09"	"2021"	"2021"	"80-84 years"	"80-84"	73067
	"Connecticut"	"09"	"2021"	"2021"	"85+ years"	"85+"	80766
"Total"	"Connecticut"	"09"	"2021"	"2021"			3623355
"Total"	"Connecticut"	"09"					7220717
	"Delaware"	"10"	"2020"	"2020"	"0-4 years"	"0-4"	53910
	"Delaware"	"10"	"2020"	"2020"	"5-9 years"	"5-9"	56568
	"Delaware"	"10"	"2020"	"2020"	"10-14 years"	"10-14"	60204
	"Delaware"	"10"	"2020"	"2020"	"15-19 years"	"15-19"	63307
	"Delaware"	"10"	"2020"	"2020"	"20-24 years"	"20-24"	58747
	"Delaware"	"10"	"2020"	"2020"	"25-29 years"	"25-29"	62680
	"Delaware"	"10"	"2020"	"2020"	"30-34 years"	"30-34"	65429
	"Delaware"	"10"	"2020"	"2020"	"35-39 years"	"35-39"	61152
	"Delaware"	"10"	"2020"	"2020"	"40-44 years"	"40-44"	56292
	"Delaware"	"10"	"2020"	"2020"	"45-49 years"	"45-49"	55873
	"Delaware"	"10"	"2020"	"2020"	"50-54 years"	"50-54"	62386
	"Delaware"	"10"	"2020"	"2020"	"55-59 years"	"55-59"	70381
	"Delaware"	"10"	"2020"	"2020"	"60-64 years "	"60-64"	70641
	"Delaware"	"10"	"2020"	"2020"	"65-69 years"	"65-69"	64203
	"Delaware"	"10"	"2020"	"2020"	"70-74 years"	"70-74"	53695
	"Delaware"	"10"	"2020"	"2020"	"75-79 years"	"75-79"	35465
	"Delaware"	"10"	"2020"	"2020"	"80-84 years"	"80-84"	21351
	"Delaware"	"10"	"2020"	"2020"	"85+ years"	"85+"	19830
"Total"	"Delaware"	"10"	"2020"	"2020"			992114
	"Delaware"	"10"	"2021"	"2021"	"0-4 years"	"0-4"	53232
	"Delaware"	"10"	"2021"	"2021"	"5-9 years"	"5-9"	56777
	"Delaware"	"10"	"2021"	"2021"	"10-14 years"	"10-14"	60118
	"Delaware"	"10"	"2021"	"2021"	"15-19 years"	"15-19"	63080
	"Delaware"	"10"	"2021"	"2021"	"20-24 years"	"20-24"	60515
	"Delaware"	"10"	"2021"	"2021"	"25-29 years"	"25-29"	61409
	"Delaware"	"10"	"2021"	"2021"	"30-34 years"	"30-34"	66904
	"Delaware"	"10"	"2021"	"2021"	"35-39 years"	"35-39"	62223
	"Delaware"	"10"	"2021"	"2021"	"40-44 years"	"40-44"	58381
	"Delaware"	"10"	"2021"	"2021"	"45-49 years"	"45-49"	54168
	"Delaware"	"10"	"2021"	"2021"	"50-54 years"	"50-54"	62495
	"Delaware"	"10"	"2021"	"2021"	"55-59 years"	"55-59"	70150
	"Delaware"	"10"	"2021"	"2021"	"60-64 years "	"60-64"	72804
	"Delaware"	"10"	"2021"	"2021"	"65-69 years"	"65-69"	66892
	"Delaware"	"10"	"2021"	"2021"	"70-74 years"	"70-74"	56720
	"Delaware"	"10"	"2021"	"2021"	"75-79 years"	"75-79"	36772
	"Delaware"	"10"	"2021"	"2021"	"80-84 years"	"80-84"	22226
	"Delaware"	"10"	"2021"	"2021"	"85+ years"	"85+"	19941
"Total"	"Delaware"	"10"	"2021"	"2021"			1004807
"Total"	"Delaware"	"10"					1996921
	"District of Columbia"	"11"	"2020"	"2020"	"0-4 years"	"0-4"	42166
	"District of Columbia"	"11"	"2020"	"2020"	"5-9 years"	"5-9"	37480
	"District of Columbia"	"11"	"2020"	"2020"	"10-14 years"	"10-14"	30301
	"District of Columbia"	"11"	"2020"	"2020"	"15-19 years"	"15-19"	28662
	"District of Columbia"	"11"	"2020"	"2020"	"20-24 years"	"20-24"	41968
	"District of Columbia"	"11"	"2020"	"2020"	"25-29 years"	"25-29"	76137
	"District of Columbia"	"11"	"2020"	"2020"	"30-34 years"	"30-34"	79343
	"District of Columbia"	"11"	"2020"	"2020"	"35-39 years"	"35-39"	63670
	"District of Columbia"	"11"	"2020"	"2020"	"40-44 years"	"40-44"	46383
	"District of Columbia"	"11"	"2020"	"2020"	"45-49 years"	"45-49"	37504
	"District of Columbia"	"11"	"2020"	"2020"	"50-54 years"	"50-54"	35065
	"District of Columbia"	"11"	"2020"	"2020"	"55-59 years"	"55-59"	35511
	"District of Columbia"	"11"	"2020"	"2020"	"60-64 years "	"60-64"	32113
	"District of Columbia"	"11"	"2020"	"2020"	"65-69 years"	"65-69"	27494
	"District of Columbia"	"11"	"2020"	"2020"	"70-74 years"	"70-74"	21728
	"District of Columbia"	"11"	"2020"	"2020"	"75-79 years"	"75-79"	14483
	"District of Columbia"	"11"	"2020"	"2020"	"80-84 years"	"80-84"	9661
	"District of Columbia"	"11"	"2020"	"2020"	"85+ years"	"85+"	11199
"Total"	"District of Columbia"	"11"	"2020"	"2020"			670868
	"District of Columbia"	"11"	"2021"	"2021"	"0-4 years"	"0-4"	40024
	"District of Columbia"	"11"	"2021"	"2021"	"5-9 years"	"5-9"	37243
	"District of Columbia"	"11"	"2021"	"2021"	"10-14 years"	"10-14"	31014
	"District of Columbia"	"11"	"2021"	"2021"	"15-19 years"	"15-19"	36488
	"District of Columbia"	"11"	"2021"	"2021"	"20-24 years"	"20-24"	47082
	"District of Columbia"	"11"	"2021"	"2021"	"25-29 years"	"25-29"	69876
	"District of Columbia"	"11"	"2021"	"2021"	"30-34 years"	"30-34"	75382
	"District of Columbia"	"11"	"2021"	"2021"	"35-39 years"	"35-39"	62541
	"District of Columbia"	"11"	"2021"	"2021"	"40-44 years"	"40-44"	47155
	"District of Columbia"	"11"	"2021"	"2021"	"45-49 years"	"45-49"	36208
	"District of Columbia"	"11"	"2021"	"2021"	"50-54 years"	"50-54"	34666
	"District of Columbia"	"11"	"2021"	"2021"	"55-59 years"	"55-59"	33882
	"District of Columbia"	"11"	"2021"	"2021"	"60-64 years "	"60-64"	31494
	"District of Columbia"	"11"	"2021"	"2021"	"65-69 years"	"65-69"	27467
	"District of Columbia"	"11"	"2021"	"2021"	"70-74 years"	"70-74"	22552
	"District of Columbia"	"11"	"2021"	"2021"	"75-79 years"	"75-79"	14718
	"District of Columbia"	"11"	"2021"	"2021"	"80-84 years"	"80-84"	9893
	"District of Columbia"	"11"	"2021"	"2021"	"85+ years"	"85+"	11106
"Total"	"District of Columbia"	"11"	"2021"	"2021"			668791
"Total"	"District of Columbia"	"11"					1339659
	"Florida"	"12"	"2020"	"2020"	"0-4 years"	"0-4"	1104675
	"Florida"	"12"	"2020"	"2020"	"5-9 years"	"5-9"	1155521
	"Florida"	"12"	"2020"	"2020"	"10-14 years"	"10-14"	1235248
	"Florida"	"12"	"2020"	"2020"	"15-19 years"	"15-19"	1256772
	"Florida"	"12"	"2020"	"2020"	"20-24 years"	"20-24"	1286976
	"Florida"	"12"	"2020"	"2020"	"25-29 years"	"25-29"	1351676
	"Florida"	"12"	"2020"	"2020"	"30-34 years"	"30-34"	1400276
	"Florida"	"12"	"2020"	"2020"	"35-39 years"	"35-39"	1356824
	"Florida"	"12"	"2020"	"2020"	"40-44 years"	"40-44"	1294990
	"Florida"	"12"	"2020"	"2020"	"45-49 years"	"45-49"	1325696
	"Florida"	"12"	"2020"	"2020"	"50-54 years"	"50-54"	1372981
	"Florida"	"12"	"2020"	"2020"	"55-59 years"	"55-59"	1496847
