"ORISITEID","Country","Site_Name","Investigator","Latitude","Longitude","Subjects_Screened"
"1140","USA","SUNY Upstate Medical University","Stephen Thomas","43.044949","-76.136962",401
"1141","USA","University of Iowa Hospitals & Clinics","Patricia Winokur","41.660436","-91.548543",266
"1142","USA","University of Texas Medical Branch","Richard Rupp","29.314075","-94.774518",390
"1145","USA","Center for Immunization Research Inpatient Unit Johns Hopkins Bayview Medical Center","Kawsar Talaat","39.291280","-76.545799",113
"1146","USA","Amici Clinical Research","Robert Falcone","40.568084","-74.630641",394
"1147","USA","Ochsner Clinic Foundation","Julia Garcia-Diaz","29.962430","-90.145600",339
"1149","USA","Collaborative Neuroscience Research, LLC","Steven Reynolds","33.777543","-118.034075",344
"1150","USA","Senders Pediatrics","Shelly Senders","41.504194","-81.519490",298
"1152","USA","California Research Foundation","Donald Branson","32.817426","-117.124983",753
"1156","USA","Acevedo Clinical Research Associates","Hector Rodriguez","25.823990","-80.237163",375
"1157","USA","Paradigm Clinical Research Center","Jamshid Saleh","40.584164","-122.425566",178
"1161","USA","Benchmark Research","Darrel Herrington","31.416111","-100.470492",43
"1162","USA","Atlanta Center for Medical Research","Robert Riesenberg","33.740088","-84.512626",588
"1163","USA","Benchmark Research","George Bauer","30.006103","-90.184251",146
"1166","USA","Rapid Medical Research, Inc.","Mary Beth Manning","41.461777","-81.493970",107
"1167","USA","Holston Medical Group","Emily Morawski","36.557416","-82.552999",232
"1168","USA","Lynn Institute of Norman","Steven Cox","35.209973","-97.476766",240
"1169","USA","Lehigh Valley Health Network / Network Office of Research and Innovation","Joseph Yozviak","40.600758","-75.494202",75
"1170","USA","North Texas Infectious Deseases Consultants, P.A.","Mezgebe Berhe","32.788375","-96.779399",496
"1171","USA","DM Clinical Research","Earl Martin","30.084754","-95.623484",306
"1174","USA","Infectious Diseases Physicians, LLC","Donald Poretz","38.854249","-77.223548",71
"1177","USA","East-West Medical Reseach Institute","David Fitz-Patrick","21.291175","-157.840296",565
"1178","USA","Clinical Research Associates, Inc.","Stephan Sharp","32.750371","-96.803811",317
"1179","USA","Michigan Center for Medical Research","Steven Katzman","42.519643","-83.359298",174
"1185","Germany","Universitatsklinikum Hamburg-Eppendorf","Marylyn Addo","53.547077","9.964825",67
"1194","Germany","IKF Pneumologie GmbH & Co KG","Steven Katzman","50.100141","8.668858",106
"1195","Germany","Medizentrum Essen Borbeck","Axel Schaefer","51.475626","6.951541",158
"1197","Germany","Studienzentrum Brinkum Dr. Lars Pohlmeier und Torsten Drescher","Matthias Luttermann","53.008653","8.783205",100
"1202","Germany","CRS Clinical Research Services Mannheim GmbH","Armin Schultz","49.500255","8.488605",13
"1203","Germany","CRS Clinical Research Services Berlin GmbH","Sybille Baumann","52.539590","13.370117",70
"1204","USA","Icahn School of Medicine at Mount Sinai","Judith Aberg","40.791404","-73.952085",291
"1205","Turkey","Hacettepe Universitesi Tip Fakultesi","Serhat Unal","39.931674","32.863173",80
"1207","Turkey","Ankara Universitesi Tip Fakultesi, Ibni Sina Hastanesi","Ismail Balik","39.933943","32.882137",69
"1208","Turkey","Acibadem Atakent Hastanesi, Enfeksiyon Hastaliklari ye Klinik Mikrobiyoloji","Iflihar Koksal","41.034447","28.778700",55
"1209","Turkey","Istanbul Yedikule Gogus Hastaliklari ve Gogus","Sedat Altin","41.001984","28.915308",21
"1210","Turkey","Medipol Mega Uniyersite Hastanesi","Ali Mert","41.058056","28.842730",62
"1212","Turkey","Sakarya Universitesi Egitim ye Arastirma","Oguz Karabay","40.756266","30.390759",36
"1213","Turkey","Istanbul Universitesi-Cerrahpasa, Cerrahpasa Tip Fakultesi","Omer Tabak","41.004328","28.939809",60
"1214","Turkey","Istanbul Universitesi Istanbul Tip Fakultesi","Serap Simsek-Yavuz","41.004526","28.940009",55
"1217","Turkey","Kocaeli Universitesi Tip Fakultesi","Sila Akhan","40.824714","29.919205",62
"1218","USA","Johns Hopkins Center for American Indian Health","Laura Hammitt","33.878486","-109.961128",58
"1219","USA","Johns Hopkins Center for American Indian Health","Laura Hammitt","36.152499","-109.556408",60
"1220","USA","Northern Navajo Medical Center","Laura Hammitt","36.804719","-108.691378",65
"1221","USA","Gallup Indian Medical Center","Laura Hammitt","35.508026","-108.729960",94
"1223","USA","Yale Center for Clinical Investigations","Onyema Ogbuagu","41.301948","-72.930261",283
"1224","USA","Lynn Institute of Denver","Larry Odekirk","39.691116","-104.833078",186
"1226","Brazil","CEPIC - Centro Paulista de Investigacao Clinica e Servicos Medicos Ltda (Casa Blanca)","Cristiano Zerbini","-23.589737","-46.611078",1358
"1229","South Africa","Newtown Clinical Research Centre","Essack Mitha","-26.203004","28.036724",217
"1230","South Africa","Limpopo Clinical Research Initiative, Tamboti Medical Centre","Leon Fouche","-24.591370","27.406048",224
"1231","Argentina","Hospital Militar Central Cirujano Mayor Dr","Fernando Polack","-34.569624","-58.437341",5896
"1232","USA","IACT Health","Jeffrey Kingsley","32.483183","-84.982224",434
"1235","USA","LSUHSC-Shreveport","John Vanchiere","32.494217","-93.751993",251
"1241","Brazil","Hospital Santo Antonio Associacao Obras Sociais","Edson Moreira","-12.934974","-38.506831",1568
"1246","South Africa","Jongaie Research","Dany Musungaie","-25.748881","28.149101",141
"1247","South Africa","Tiervlei Trial Centre, Basement Level, Karl Bremer Hospital","Haylene Nell","-33.871827","18.637222",260
"1248","USA","Pharmaron CPC, Inc.","Mohamed Al-Ibrahim","39.289088","-76.628981",252
"1251","USA","Birmingham Clinical Research Unit","Hayes Williams","33.444924","-86.789571",264
"1252","USA","Main Street Physician's Care","Stephen Grubb","34.056590","-78.898022",40
"1254","USA","Bayview Research Group","Robert Heller","34.156794","-118.408083",213
"1258","USA","Dayton Clinical Research","Martin Schear","39.774991","-84.216896",74
"1260","USA","UMass Memorial Medical Center - University","Robert Finberg","42.275392","-71.762984",132
"1261","USA","Benaroya Research Institute at Virginia Mason","Carla Greenbaum","42.275392","-71.762984",82
"1264","USA","UC Davis Medical Center","Timothy Albertson","38.554260","-121.455454",227
"1265","USA","Kaiser Petmanente Los Angeles Medical Center","William Towner","34.098208","-118.295618",183
"1269","USA","Providence Clinical Research","Teresa Sligh","34.187014","-118.396461",142
"1270","USA","Kaiser Petmanente Santa Clara","Nicola Klein","37.336446","-121.996307",244
